Contacting pair,Clearance medium,Average interfacial temperature (K),Equivalent thermal conductivity (W/(m·K)),Average interfacial electrical potential (V),Equivalent electrical conductivity (S/mm)
E-N,Air,386.3,0.6719,4.473,2.760
473.8,0.7074,5.219,2.762
562.6,0.7074,5.964,2.761
653.1 745.2,0.7574,6.709,2.762
,0.8297,7.455,2.763
Silver-epoxy adhesive,399.0,14.10,5.975,269.9
498.0,14.67,6.970,269.6
597.0,14.82,7.966,270.7
695.8,14.81,8.962,270.0
,Air,794.5,14.68,9.958,269.3
389.9,0.7691,5.027,4.940
480.7,0.7835,5.864,4.942
572.8,0.8207,6.702,4.943
666.6 762.0,0.8988,7.540,4.941
,399.3,1.024,8.378,4.945
498.6,15.00 16.10,5.989 6.987,625.5 623.2
597.9,16.01,7.985,626.8
697.1,16.51,8.984,631.8
796.3,16.46,9.982,625.5
