Contacting pair,$T _ { E 1 } \left( \mathrm { K } \right)$,$T _ { E 2 } \left( \mathrm { K } \right)$,Pressure (MPa),Heat fl ux $( 1 0 ^ { 3 } \mathrm { W / m ^ { 2 } } )$,Voltage (mV),TCR(Num.) (K·m2/W),$\mathrm { T C R } ( E x p . ) \ ( \mathrm { K } { \cdot } \mathrm { m } ^ { 2 } / \mathrm { W } )$,Deviation (%)
E-TE-H,732.9,525.1,1.2,36.70,43.0,$8 . 4 5 \times 1 0 ^ { - 4 }$,$7 . 3 8 \times 1 0 ^ { - 4 }$,-12.7
855.5,562.4,1.2,60.28,60.3,$7 . 6 6 \times 1 0 ^ { - 4 }$,$7 . 1 3 \times 1 0 ^ { - 4 }$,-6.92
739.6,524.6,2.0,40.31,43.8,$8 . 1 2 \times 1 0 ^ { - 4 }$,$7 . 2 7 \times 1 0 ^ { - 4 }$,-10.5
858.5,563.6,2.0,63.27,62.4,$7 . 4 3 \times 1 0 ^ { - 4 }$,$6 . 3 5 \times 1 0 ^ { - 4 }$,-14.5
489.9,323.2,1.2,10.76,13.8,$9 . 8 6 \times 1 0 ^ { - 4 }$,$8 . 6 4 \times 1 0 ^ { - 4 }$,-12.4
E-TE-L,573.5,355.7,1.2,38.78,31.8,$9 . 3 3 \times 1 0 ^ { - 4 }$,$8 . 1 0 \times 1 0 ^ { - 4 }$,-13.2
499.0,322.0,2.0,13.30,14.5,$7 . 1 5 \times 1 0 ^ { - 4 }$,$7 . 8 9 \times 1 0 ^ { - 4 }$,10.3
578.0,355.3,2.0,41.21,32.5,$7 . 0 5 \times 1 0 ^ { - 4 }$,$7 . 7 9 \times 1 0 ^ { - 4 }$,10.5
398.5,308.1,1.2,7.235,11.8,$1 . 0 3 \times 1 0 ^ { - 3 }$,$0 . 9 3 8 \times 1 0 ^ { - 3 }$,-8.93
488.8,325.7,1.2,14.39,22.8,$0 . 9 8 8 \times 1 0 ^ { - 3 }$,$1 . 1 4 \times 1 0 ^ { - 3 }$,15.4
,399.6,308.0,2.1,7.444,11.9,$1 . 0 1 \times 1 0 ^ { - 3 }$,$0 . 9 2 7 \times 1 0 ^ { - 3 }$,-8.22
490.4,324.6,2.1,15.68,24.0,$0 . 9 8 7 \times 1 0 ^ { - 3 }$,$0 . 9 1 2 \times { 1 0 } ^ { - 3 }$,-7.60
